pl_name,hostname,disposition,disc_year,pl_rade,pl_bmasse,pl_eqt,rastr,ra,decstr,dec
EPIC 211694226.01,EPIC 211694226,CANDIDATE,2017,1.000,,,08h50m21.54s,132.5897575,+15d50m16.76s,15.8379892
EPIC 211711685.01,EPIC 211711685,CANDIDATE,2021,1.266,,,08h54m03.44s,133.5143161,+16d04m16.81s,16.0713370
EPIC 211718187.01,EPIC 211718187,CANDIDATE,2019,1.380,,,08h56m55.84s,134.2326570,+16d09m36.76s,16.1602115
EPIC 211719484.01,EPIC 211719484,CANDIDATE,2016,,,,08h13m55.65s,123.4818695,+16d10m41.05s,16.1780684
EPIC 211724246.01,EPIC 211724246,CANDIDATE,2021,11.600,,1775,08h44m45.93s,131.1913594,+16d14m37.15s,16.2436537
EPIC 211724246.01,EPIC 211724246,CANDIDATE,2021,10.321,,1141,08h44m45.93s,131.1913594,+16d14m37.15s,16.2436537
EPIC 211724246.01,EPIC 211724246,CANDIDATE,2021,12.597,,,08h44m45.93s,131.1913594,+16d14m37.15s,16.2436537
EPIC 211728689.01,EPIC 211728689,CANDIDATE,2021,8.917,,,08h36m43.41s,129.1808815,+16d18m24.46s,16.3067932
EPIC 211731298.01,EPIC 211731298,CANDIDATE,2016,1.800,,,08h36m09.86s,129.0410676,+16d20m37.18s,16.3436617
EPIC 211731298.01,EPIC 211731298,CANDIDATE,2016,,,,08h36m09.86s,129.0410676,+16d20m37.18s,16.3436617
EPIC 211731298.01,EPIC 211731298,CANDIDATE,2016,,,,08h36m09.86s,129.0410676,+16d20m37.18s,16.3436617
EPIC 211733267.01,EPIC 211733267,CANDIDATE,2016,,,,08h40m02.25s,130.0093645,+16d22m20.44s,16.3723455
EPIC 211733267.01,EPIC 211733267,CANDIDATE,2016,,,,08h40m02.25s,130.0093645,+16d22m20.44s,16.3723455
EPIC 211733267.01,EPIC 211733267,CANDIDATE,2016,17.160,,,08h40m02.25s,130.0093645,+16d22m20.44s,16.3723455
EPIC 211733267.01,EPIC 211733267,CANDIDATE,2016,19.100,,,08h40m02.25s,130.0093645,+16d22m20.44s,16.3723455
EPIC 211733267.01,EPIC 211733267,CANDIDATE,2016,,,,08h40m02.25s,130.0093645,+16d22m20.44s,16.3723455
EPIC 211736305.01,EPIC 211736305,CANDIDATE,2019,2.820,,,08h39m37.78s,129.9074327,+16d24m50.57s,16.4140463
EPIC 211741619.01,EPIC 211741619,CANDIDATE,2018,2.200,,,08h47m35.26s,131.8968981,+16d29m23.27s,16.4897963
EPIC 211754117.01,EPIC 211754117,CANDIDATE,2021,1.665,,,08h56m35.53s,134.1480303,+16d39m56.28s,16.6656338
EPIC 211754962.01,EPIC 211754962,CANDIDATE,2016,1.650,,,08h16m07.05s,124.0293742,+16d40m37.59s,16.6771082
EPIC 211754962.01,EPIC 211754962,CANDIDATE,2016,,,,08h16m07.05s,124.0293742,+16d40m37.59s,16.6771082
EPIC 211762841.01,EPIC 211762841,CANDIDATE,2017,2.060,,,08h35m42.33s,128.9263659,+16d47m21.32s,16.7892549
EPIC 211762841.01,EPIC 211762841,CANDIDATE,2017,2.220,,,08h35m42.33s,128.9263659,+16d47m21.32s,16.7892549
EPIC 211765695.01,EPIC 211765695,CANDIDATE,2021,2.643,,,08h40m39.14s,130.1630689,+16d49m45.08s,16.8291894
EPIC 211765695.02,EPIC 211765695,CANDIDATE,2021,2.887,,,08h40m39.14s,130.1630689,+16d49m45.08s,16.8291894
EPIC 211770867.01,EPIC 211770867,CANDIDATE,2016,,,,08h12m05.44s,123.0226578,+16d54m10.65s,16.9029575
