kepoi_name,koi_prad,koi_teq,ra,dec
K00012.01,13.16,911.0,297.453740,41.010990
K00901.01,4.87,432.0,285.167480,43.876339
K00902.01,4.78,226.0,287.852390,43.897991
K00903.01,6.96,998.0,295.536130,43.884449
K00904.01,1.85,931.0,285.168330,44.026459
K00904.02,1.90,400.0,285.168330,44.026459
K00124.01,2.57,1008.0,292.929140,48.602810
K00895.01,10.95,1101.0,296.410190,43.455391
K00896.01,4.14,598.0,293.061400,43.581360
K00896.02,2.96,819.0,293.061400,43.581360
K00897.01,13.12,1497.0,299.561890,43.503559
K00898.01,2.23,460.0,282.232510,43.665630
K00898.02,1.66,569.0,282.232510,43.665630
K00123.02,2.48,771.0,290.392730,40.284870
K00898.03,2.25,362.0,282.232510,43.665630
K00899.01,1.16,429.0,296.985050,43.658520
K00899.02,0.91,554.0,296.985050,43.658520
K00899.03,1.11,332.0,296.985050,43.658520
K00900.01,4.56,833.0,281.960630,43.703110
K00911.01,2.85,1182.0,290.263280,44.556450
K00911.02,3.43,401.0,290.263280,44.556450
K00912.01,2.34,499.0,295.579350,44.545959
K00912.02,1.18,587.0,295.579350,44.545959
K00913.01,10.55,1016.0,284.830470,44.658138
K00914.01,1.87,1010.0,288.726650,44.607510
K00904.03,1.85,349.0,285.168330,44.026459
K00904.04,1.62,728.0,285.168330,44.026459
K00904.05,1.75,559.0,285.168330,44.026459
K00905.01,4.33,950.0,296.507540,44.036072
K00906.01,2.47,782.0,289.594760,44.141949
K00906.02,2.43,579.0,289.594760,44.141949
K00906.03,1.08,938.0,289.594760,44.141949
K00907.01,2.72,655.0,296.566220,44.105862
K00907.02,3.14,536.0,296.566220,44.105862
K00907.03,1.36,990.0,296.566220,44.105862
K00124.02,3.09,743.0,292.929140,48.602810
K00907.04,2.64,360.0,296.566220,44.105862
K00908.01,10.60,1162.0,298.635650,44.170940
K00909.01,540.37,438.0,298.678620,44.175499
K00910.01,2.68,850.0,284.430510,44.480530
K00928.01,2.42,1194.0,284.759430,45.599129
K00929.01,9.66,1062.0,285.554810,45.578861
K00930.01,24.54,1076.0,293.684940,45.516830
